Vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1_1,6.896551724,4.022988506,0.0,0.0,8.045977011,0.0,0.0,8.045977011,1.149425287,4.022988506,0.0,0.0,9.770114943,1.724137931,0.574712644,0.0,1.149425287,4.022988506,1.724137931,7.471264368,11.49425287,28.16091954,0.0,1.724137931,0.0,0.0,0.0
1_2,4.0983606560000005,7.37704918,0.0,0.8196721309999999,12.29508197,0.0,0.0,4.918032787,1.6393442619999998,4.0983606560000005,2.459016393,0.0,3.278688525,2.459016393,0.0,0.0,0.8196721309999999,5.737704918,0.8196721309999999,10.6557377,13.1147541,16.39344262,0.0,9.016393443,0.0,0.0,0.0
2_1,4.651162791,0.0,0.0,0.0,6.976744186,0.0,0.0,1.162790698,0.0,4.651162791,0.0,1.162790698,23.25581395,1.162790698,8.139534884,1.162790698,0.0,3.488372093,0.0,0.0,10.46511628,24.41860465,0.0,9.302325581,0.0,0.0,0.0
2_2,3.448275862,3.448275862,0.0,10.34482759,3.448275862,0.0,0.0,0.0,0.0,3.448275862,0.0,3.448275862,17.24137931,0.0,6.896551724,0.0,0.0,6.896551724,0.0,0.0,6.896551724,20.68965517,0.0,13.79310345,0.0,0.0,0.0
10_1,13.51351351,1.801801802,0.0,3.1531531530000003,7.207207207000001,0.0,0.0,2.252252252,4.504504505,4.054054054,0.45045045,0.900900901,21.62162162,2.252252252,6.3063063060000015,1.351351351,2.252252252,2.252252252,0.0,1.801801802,10.36036036,0.900900901,0.0,13.06306306,0.0,0.0,0.0
10_2,15.58441558,1.298701299,0.0,3.246753247,3.896103896,0.0,0.0,4.545454545,2.597402597,3.246753247,2.597402597,1.948051948,16.88311688,3.896103896,9.090909091,0.0,0.649350649,1.298701299,0.0,0.649350649,9.090909091,3.896103896,0.0,15.58441558,0.0,0.0,0.0
11_1,6.2893081760000005,0.0,0.0,1.257861635,11.94968553,0.0,0.0,5.660377358,0.628930818,11.94968553,0.628930818,1.257861635,12.57861635,3.773584906,5.031446541,0.628930818,0.0,3.773584906,4.4025157230000005,5.031446541,1.257861635,13.20754717,0.0,10.6918239,0.0,0.0,0.0
11_2,3.076923077,0.7692307690000001,1.5384615380000002,0.0,14.61538462,0.0,0.0,6.923076922999999,0.0,2.307692308,0.0,2.307692308,2.307692308,5.384615385,1.5384615380000002,2.307692308,0.0,2.307692308,1.5384615380000002,10.0,5.384615385,13.84615385,0.0,23.84615385,0.0,0.0,0.0
12_1,5.263157895,0.0,0.0,0.0,13.15789474,0.0,0.0,6.578947368,0.0,14.47368421,0.0,0.0,2.631578947,0.0,5.263157895,0.0,1.315789474,5.263157895,0.0,19.73684211,3.947368421,21.05263158,0.0,1.315789474,0.0,0.0,0.0
12_2,0.0,0.0,0.0,0.0,11.76470588,0.0,0.0,23.52941176,0.0,0.0,0.0,0.0,5.8823529410000015,0.0,11.76470588,0.0,0.0,5.8823529410000015,0.0,17.64705882,0.0,11.76470588,0.0,11.76470588,0.0,0.0,0.0
13_1,6.722689076,0.0,0.0,1.680672269,12.60504202,0.0,0.0,14.28571429,0.8403361340000001,5.8823529410000015,0.0,0.0,7.56302521,0.8403361340000001,3.361344538,0.0,2.521008403,6.722689076,1.680672269,0.8403361340000001,10.92436975,6.722689076,0.0,16.80672269,0.0,0.0,0.0
13_2,1.960784314,1.960784314,0.0,0.0,9.803921569,0.0,0.0,9.803921569,2.9411764710000003,27.45098039,0.980392157,0.0,4.901960784,0.980392157,3.921568627,0.0,2.9411764710000003,4.901960784,1.960784314,0.980392157,6.862745098,11.76470588,0.0,5.8823529410000015,0.0,0.0,0.0
14_1,3.418803419,0.0,0.0,0.0,11.11111111,0.0,0.0,0.854700855,5.982905982999999,11.96581197,0.0,0.0,9.401709402,5.128205128,2.564102564,0.0,0.0,0.854700855,0.0,0.854700855,23.07692308,7.692307692000001,0.0,17.09401709,0.0,0.0,0.0
14_2,7.142857143,0.0,0.0,0.0,7.142857143,0.0,0.0,3.571428571,10.71428571,10.71428571,0.0,0.0,0.0,14.28571429,0.0,0.0,0.0,7.142857143,0.0,7.142857143,17.85714286,10.71428571,0.0,3.571428571,0.0,0.0,0.0
15_1,21.27659574,3.5460992910000004,0.0,0.0,4.964539007,0.0,0.0,0.709219858,5.673758865,2.127659574,0.0,1.418439716,17.0212766,2.127659574,3.5460992910000004,0.709219858,0.0,4.255319149,0.0,0.0,28.36879433,2.127659574,0.0,2.127659574,0.0,0.0,0.0
15_2,24.32432432,2.702702703,0.0,0.0,5.405405405,0.0,0.0,0.0,0.0,2.702702703,2.702702703,0.0,16.21621622,0.0,5.405405405,0.0,0.0,8.108108108,0.0,0.0,21.62162162,2.702702703,0.0,5.405405405,0.0,2.702702703,0.0
16_1,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.166666667,0.0,35.41666667,5.208333333,12.5,0.0,3.125,0.0,0.0,0.0,11.45833333,0.0,2.083333333,1.041666667,0.0,0.0,0.0
16_2,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,1.25,3.75,45.0,7.5,3.75,1.25,6.25,1.25,0.0,0.0,5.0,6.25,0.0,1.25,0.0,0.0,0.0
17_1,8.602150538,0.0,0.0,6.451612902999999,10.75268817,0.0,0.0,4.301075269,0.0,12.90322581,0.0,0.0,7.52688172,0.0,15.05376344,2.150537634,0.0,2.150537634,1.075268817,4.301075269,4.301075269,8.602150538,0.0,11.82795699,0.0,0.0,0.0
17_2,5.263157895,3.50877193,0.0,8.771929825,3.50877193,0.0,0.0,12.28070175,0.0,17.54385965,1.754385965,0.0,3.50877193,1.754385965,5.263157895,0.0,1.754385965,3.50877193,0.0,8.771929825,1.754385965,10.52631579,0.0,10.52631579,0.0,0.0,0.0
18_1,5.862068966,2.413793103,0.0,5.517241379,10.68965517,0.0,0.0,4.827586207,3.448275862,1.379310345,1.034482759,0.0,14.48275862,6.551724137999999,6.551724137999999,1.034482759,1.724137931,1.379310345,2.75862069,1.379310345,5.1724137930000005,15.17241379,0.0,8.620689655,0.0,0.0,0.0
18_2,5.416666667,0.833333333,0.0,2.916666667,5.833333333,0.0,0.0,2.916666667,2.916666667,1.666666667,0.833333333,0.4166666670000001,17.91666667,5.833333333,6.666666667,0.833333333,2.5,1.666666667,1.666666667,1.25,7.916666667,18.33333333,0.0,11.66666667,0.0,0.0,0.0
19_1,8.4,1.2,0.0,2.8,5.6,0.0,0.0,6.4,4.8,5.2,2.8,2.4,15.2,7.6,6.4,1.2,0.8,2.4,0.4,1.2,7.6,3.2,0.0,14.4,0.0,0.0,0.0
19_2,5.691056911,0.0,0.0,4.87804878,4.87804878,0.0,0.0,3.25203252,8.943089431,6.5040650410000005,0.81300813,0.0,15.44715447,8.943089431,7.317073171,2.43902439,0.81300813,1.62601626,0.81300813,0.81300813,6.5040650410000005,3.25203252,0.0,17.07317073,0.0,0.0,0.0
20_1,3.296703297,1.098901099,0.0,2.197802198,18.68131868,0.0,0.0,10.98901099,0.0,13.18681319,0.0,0.0,9.89010989,0.0,3.296703297,0.0,0.0,1.098901099,3.296703297,1.098901099,5.494505495,24.17582418,0.0,2.197802198,0.0,0.0,0.0
