Vector,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,y
1,3.05958132,0.404876927,0,0.621118012,3.031976075,0,0,1.196227283,0.239245457,0.644122383,1.863354037,0,3.298826777,0.358868185,0.740740741,0,1.863354037,0.524499655,1.60110421,3.892339545,4.656084656,11.61720727,0,4.610075914,0,0,0,1
10,1.974931387,0.016976488,0,0.033952975,2.189966896,0,0,2.0937668,2.167331579,4.215827745,2.645502646,0.517782871,6.592536004,1.564666271,0.984636279,0.540418187,2.144696262,0.551735846,0,1.609936904,1.700478171,2.105084458,0,1.445830858,0,0,0,1
100,0.068592986,1.140358398,0,0.83168996,3.652576524,0,0,1.003172426,0.017148247,14.62745434,1.834862385,0.917431193,6.747835034,4.50141473,2.872331304,1.071765412,0.934579439,1.003172426,1.869158879,0.085741233,4.724341936,0.986024179,0,3.841207237,0,0,0,1
101,6.818181818,0,0,3.03030303,2.272727273,0,0,0,0,1.515151515,2.272727273,0,3.03030303,6.818181818,3.787878788,0,0,0,0,0,6.060606061,0,0,2.272727273,0,0,0,1
102,4.837870643,0,0,0.74562164,8.132477891,0,0,0.953702098,0.208080458,3.676088087,1.265822785,0,1.352522976,1.265822785,0.416160916,0,2.427605341,2.843766256,1.577943471,4.109589041,2.219524883,3.797468354,1.369863014,0.416160916,0,0,0,1
103,9.333333333,0,0,0,0.779874214,0,0,2.893081761,3.773584906,6.113207547,0,0,12.62893082,7.547169811,1.433962264,0.779874214,0,2.113207547,0,0,6.012578616,1.006289308,0,3.647798742,0,0,0,1
104,0.268817204,0,0,0,4.731182796,0,0,0.053763441,0.107526882,1.827956989,0,1.774193548,0.698924731,1.612903226,5.161290323,1.666666667,1.612903226,1.666666667,0,0,1.559139785,4.731182796,1.666666667,0.752688172,0,0,0,1
105,5.142165759,1.754385965,0,3.50877193,3.629764065,0,0,1.784633999,1.754385965,4.83968542,0,0,5.021173624,1.754385965,0.302480339,0,0,0,0,1.754385965,1.966122202,1.845130067,0,5.051421658,0,0,0,1
106,0,2.702702703,0,0,0,0,0,2.702702703,5.405405405,10.81081081,0,0,2.702702703,0,8.108108108,2.702702703,2.702702703,8.108108108,2.702702703,2.702702703,0,2.702702703,0,5.405405405,0,0,0,1
107,2.967898243,0.769230769,0,3.276801938,6.632344034,0,0,2.967898243,0.787401575,1.611144761,0.054512417,0.018170806,3.513022411,1.683827983,3.18594791,1.520290733,0.823743186,3.18594791,1.520290733,3.791641429,0.587522714,0.109024833,0,3.276801938,0,0.769230769,0,1
108,13.87458007,0,0,0.022396417,10.69428891,0,0,3.101903695,0,2.183650616,0,0,2.989921613,0.011198208,4.154535274,1.052631579,0,0,1.063829787,2.127659574,5.128779395,2.060470325,0,11.4893617,0,0,0,1
109,3.604651163,0,0,1.434108527,1.531007752,0,0,1.492248062,0.833333333,2.325581395,0,0,4.980620155,1.724806202,1.860465116,0.775193798,1.492248062,3.643410853,1.240310078,2.209302326,4.302325581,0.600775194,0,9.282945736,0,0,0,1
11,2.02982203,0.649350649,1.298701299,1.481481481,3.823953824,0,0,4.737854738,0.740740741,7.955747956,0.740740741,1.856661857,10.08658009,0.101010101,4.627224627,1.207311207,0,1.106301106,2.496392496,3.905723906,4.454064454,3.867243867,0,13.0976431,0,0,0,1
110,3.576388889,0.451388889,1.5625,0,2.986111111,0,0,1.979166667,5.763888889,5.3125,0,0.451388889,0.694444444,2.847222222,0.868055556,3.576388889,0,1.770833333,3.333333333,0,1.041666667,0.451388889,0,9.166666667,0,0,0,1
111,0.712391057,0,0,1.917392952,5.835543767,0,0,3.599848427,0.280409246,2.910193255,0,0,7.199696855,1.659719591,4.11519515,0,1.917392952,2.607048124,2.068965517,2.068965517,2.432739674,4.736642668,0,3.06176582,0,0,0,1
112,1.140889032,1.0547842,0,0,8.176371399,0,0,2.080866789,4.534854519,0.613496933,1.255695476,3.182291106,1.858429304,1.496071467,1.994761956,3.422667097,1.255695476,2.568794174,1.313098698,3.85319126,3.106949378,0.785706598,0.613496933,6.644422918,0,0,0,1
113,0.029735355,2.542372881,0,0.847457627,1.665179899,0,0,6.229556943,0.847457627,3.56824264,2.482902171,0.847457627,1.129943503,3.999405293,2.988403211,1.694915254,0.029735355,0.817722272,0.029735355,0.877192982,1.962533452,4.698186143,0,5.857865001,0,0,0,1
114,0.967506389,0,0,0,4.271631982,0,0,0.310332238,0,5.713764147,0,0,1.588170865,1.515151515,6.133625411,3.03030303,2.409638554,1.788974078,0.620664476,0,4.308141658,1.241328952,0,14.07447974,0,0,0,1
115,0.340497978,0.673902249,0,0,1.468397531,0,0,3.043200681,0.673902249,0.23409236,1.915301128,0,0.425622473,3.929914166,2.24161169,1.80889551,1.461303824,1.57480315,0.900900901,1.014400227,2.014613038,1.014400227,0,1.255586295,0,0,0,1
116,0.824195686,1.513435354,0,2.973852271,2.108687794,0,0,0.147005663,0.70610917,1.142306302,0.053018436,1.142306302,9.543318472,4.622243644,0.040968791,1.03626943,0.212073744,1.701409808,1.354380046,1.183275093,2.761778528,1.995421135,0.412097843,2.366550187,0,0,0,1
117,1.688024104,5.543253349,0,4.425164265,2.522960758,0,0,6.861001198,0,0.152466693,0.635277889,0,7.387374306,4.403383309,0.152466693,0,0.613496933,1.70980506,1.052746216,0.722401713,3.176389443,4.160162631,0.613496933,3.376048209,0,0,0,1
118,0.163934426,2.265275708,0,0.089418778,10.9538003,0,0,7.168405365,0.909090909,1.654247392,0.909090909,0.819672131,3.248882265,0.909090909,4.008941878,0,0.819672131,1.549925484,0.730253353,8.450074516,0.551415797,0.640834575,0,0.745156483,0,1.639344262,0,1
119,2.975376197,1.764705882,0,0,0.581395349,0,0,0.574555404,0.554035568,2.380300958,0.595075239,1.162790698,1.545827633,6.326949384,0.642954856,0.581395349,2.968536252,0.533515732,0,4.630642955,5.772913817,10.2872777,0,0.649794802,0,0,0,1
12,4.583333333,0,0,0,18.05555556,0,0,10.13888889,0,5.694444444,0,0,6.25,0,0.416666667,0,2.222222222,6.111111111,0,3.055555556,2.361111111,9.861111111,0,6.25,0,0,0,1
120,1.260504202,4.761904762,0,0,0.140056022,0,0,1.540616246,0,0.140056022,0,0,7.983193277,0,0.700280112,0,0,0,0,0,14.42577031,7.703081232,0,5.322128852,0,0,0,1
121,1.598097766,0.110595001,0,0,5.551869056,0,0,0.757575758,0.082946251,2.355673524,0.840522008,0.757575758,5.905773059,1.708692767,0.95111701,2.328024773,1.542800265,0.619332006,1.459854015,1.515151515,7.780358328,2.615571776,0.729927007,0.98982526,0,0,0,1
122,0.302989496,0,0.632911392,2.356584972,1.67654188,0,0,2.686506868,0.605978993,4.706436844,0.531914894,0.632911392,4.235119849,0.377053595,4.477511446,1.999730676,0.276057097,1.366819284,0.531914894,3.137624562,2.282520873,4.033126852,0,0.181793698,0,0,0,1
123,0.230700976,0.41703638,0,0,1.552795031,0,0,4.383318545,0.984915705,3.513753327,0,0,1.845607808,1.135758651,5.137533274,2.493345164,3.47826087,3.47826087,0.301685892,0.150842946,2.271517303,1.703637977,1.020408163,4.614019521,0,1.020408163,0,1
124,2.845777234,1.315789474,0,0,7.374541004,0,0,1.46878825,1.162790698,13.61689106,0,0,2.723378213,1.315789474,5.813953488,0.152998776,1.162790698,2.723378213,3.488372093,0,0.642594859,0.979192166,0,3.396572827,0,0,0,1
125,1.322330483,4.543646848,0,0,0.288327699,0,0,2.515410618,0,5.090475244,0,0.129250348,4.036587791,6.283555379,0.705905747,0,0.805329091,2.67448797,1.193080135,1.869158879,0.964406443,7.963809903,0,6.064824021,0,0,0,1
126,1.4570966,1.043353121,0,1.559033399,6.649877076,0,0,4.850992385,0.653594771,4.725070456,0.653594771,0,3.040115129,0.539665407,4.689092762,0.917431193,0.653594771,0.515680278,4.047490556,0,0.641602207,7.027642861,0,12.60418541,0,0,0,1
127,1.723673579,0,0,2.181524374,2.774037167,0,0,5.094712272,0.785528324,0.80797199,2.356584972,0,0.076308466,0.632911392,0.053864799,0,0.785528324,1.571056648,5.040847473,3.698716222,0.381542329,14.92952689,0.709219858,5.314660203,0,0,0,1
128,1.408096555,1.030927835,0,2.81619311,9.55494091,0,0,5.99698265,0.18858436,3.193361831,0.842343475,1.219512195,2.552175006,4.400301735,5.443801861,0,0.18858436,1.596680915,4.12371134,3.092783505,4.978627106,1.697259241,0,3.759114911,0,0,0,1
129,4.812834225,0,1.470588235,1.559714795,0.04456328,0,0,2.852049911,1.470588235,5.392156863,1.470588235,0,0.490196078,1.292335116,3.07486631,0,0,0.08912656,0,0,5.793226381,9.31372549,0,1.827094474,0,1.470588235,0,1
13,4.166666667,1.709401709,0,1.923076923,1.388888889,0,0,2.35042735,3.418803419,17.2008547,0.854700855,0,0.747863248,0.106837607,1.388888889,0,0.320512821,1.602564103,0.213675214,0.106837607,4.700854701,2.564102564,0,12.28632479,0,0,0,1
130,2.165725047,1.47968792,0,2.165725047,2.609631423,0,0,1.224105461,1.049233253,5.555555556,0.793650794,0.793650794,8.218993812,1.802528921,0.201775626,3.066989508,0.847457627,1.224105461,0.053806833,0.107613667,1.15684692,1.170298628,0,1.170298628,0,0,0,1
131,0.404335001,0.947867299,0,0.815298446,5.269611905,0,0,3.589301694,0.9014682,1.554369801,0.722500249,0,1.865906605,3.340735094,4.397971697,0,0.722500249,0.023199549,0.497133199,2.144301196,4.126205548,3.161767143,0,2.555264641,0,0,0,1
132,6.25,0,0,4,0,0,0,4,0,0,0,0,29.5,0,28,0,0,6.25,0,0,1,1.25,0,1.75,0,4,0,1
133,0.031786395,0,0,0.686586141,2.078830261,0,0,0.025429116,0.826446281,1.424030515,2.307692308,0.712015257,0.13986014,0.114431024,7.724094088,0.826446281,0.114431024,2.250476796,1.481246027,1.11252384,5.327399873,3.445645264,0,7.755880483,0,0,0,1
134,1.945701357,0.067873303,0,2.941176471,4.886877828,0,0,6.153846154,1.470588235,1.402714932,0,1.470588235,4.660633484,1.334841629,4.140271493,0,5.882352941,1.266968326,3.076923077,1.538461538,0.067873303,10.97285068,0,4.140271493,0,0,0,1
135,3.651266766,0,0,1.639344262,3.402881272,0,0,0.124192747,0,0.894187779,0,0,8.817685047,6.060606061,4.396423249,0.124192747,0,1.266766021,0,0,2.632886239,1.142573274,0,15.4247392,0,0,0,1
137,8.790849673,0,0.751633987,2.189542484,5.22875817,0,0,4.411764706,0,4.346405229,0,0,5.261437908,5.196078431,0.032679739,0,0.751633987,8.071895425,0.718954248,0,0.68627451,19.31372549,0,7.320261438,0,0,0,1
138,2.947845805,0,0,0,1.678004535,0,0,1.859410431,0,1.451247166,0,2.040816327,4.444444444,2.222222222,4.988662132,0,0,2.222222222,0,2.040816327,6.712018141,4.489795918,0,0.544217687,0,0,0,1
139,5.215097403,1.5625,0,0,6.229707792,0,0,0.263798701,2.333603896,1.806006494,1.5625,0.771103896,6.310876623,4.931006494,2.090097403,2.069805195,3.125,1.298701299,1.298701299,1.5625,2.069805195,1.318993506,0,0.202922078,0,0,0,1
14,3.780864198,0,0,0,4.533179012,0,0,0.327932099,10.0308642,4.205246914,0,0,10.78317901,1.639660494,3.703703704,0,0,1.890432099,0,4.6875,3.144290123,4.764660494,0,0.752314815,0,0,0,1
140,2.680652681,0.06993007,0,0,0.13986014,0,0,0.06993007,1.538461538,8.881118881,0,0,10.79254079,0.023310023,1.491841492,3.076923077,0,4.522144522,4.615384615,0,7.552447552,9.300699301,0,2.983682984,0,1.515151515,0,1
141,9.15376677,0.980392157,0,1.455108359,6.687306502,0,0,0.650154799,1.960784314,8.854489164,0,0,4.024767802,3.302373581,0.144478844,0,0,0.216718266,2.868937049,0.36119711,4.210526316,1.052631579,0,0.288957688,0,0,0,1
142,4.301075269,0,0,0,0,0,0,0,0,2.150537634,0,0,2.150537634,2.150537634,4.301075269,1.075268817,1.075268817,1.075268817,0,0,2.150537634,1.075268817,0,2.150537634,0,0,0,1
143,1.5625,7.8125,1.827330508,0,0,0,0,0.264830508,3.522245763,4.316737288,1.694915254,0.132415254,3.495762712,1.827330508,5.852754237,2.992584746,0,3.654661017,0,0,0.63559322,0.503177966,1.5625,7.17690678,0,0,0,1
144,4.607721046,0,0,0,2.170432307,0,0,0,6.351183064,1.156377869,0,0,0.85394058,5.052481765,1.654509874,0,0,0.071161715,1.298701299,1.298701299,2.455079167,1.014054439,0,13.60967799,0,0,0,1
145,0.272087068,1.136363636,1.408450704,0,6.402048656,0,0,4.177336748,1.408450704,1.536491677,1.408450704,0,0.768245839,3.137003841,3.361075544,0,1.136363636,2.864916773,0,7.682458387,1.776568502,2.912932138,0,0.09603073,0,0,0,1
146,2.670661803,1.328817092,0,1.315789474,4.247003648,0,0,2.318916102,1.315789474,2.944241793,0,0,0.27357999,3.947368421,6.65711308,1.315789474,0.99009901,0.325690464,2.318916102,0.325690464,4.260031266,6.279312142,0,2.292860865,0,0,0,1
147,2.941176471,0,0,0,0,0,0,2.941176471,0,14.70588235,1.470588235,0,2.941176471,1.470588235,8.823529412,0,1.470588235,2.941176471,0,0,1.470588235,1.470588235,0,10.29411765,0,0,0,1
148,2.666666667,0,0,0.888888889,7.746031746,0,0,0.063492063,4.761904762,1.333333333,1.587301587,1.587301587,1.333333333,2.666666667,3.428571429,0,1.079365079,0.571428571,2.666666667,0.571428571,8.571428571,3.619047619,0,0.317460317,0,0,0,1
149,0.171624714,0.877192982,0,2.00228833,2.879481312,0,0,2.517162471,0.667429443,2.803203661,4.557589626,0,8.466819222,0.457665904,2.00228833,0,0,2.173913043,0.877192982,2.345537757,1.5064836,6.273836766,0,4.118993135,0,0,0,1
15,7.432432432,1.143451143,0,0,5.223492723,0,0,0.961538462,3.066528067,1.533264033,1.351351351,1.923076923,1.221413721,2.884615385,2.104989605,1.351351351,0,2.910602911,0,0,4.72972973,0.77962578,0,2.130977131,0,1.351351351,0,1
150,4.01754791,0,0,1.766335719,2.20503348,0,0,2.124220734,2.459016393,14.69637497,0,0,2.793812053,3.174786423,4.918032787,1.408450704,3.278688525,0.357885015,0,3.509582083,0.565689217,7.71184484,0,0.103902101,0,0,0,1
151,2.764526697,0,0.787401575,0.787401575,1.57480315,0,0,0.057474568,1.959882752,3.247313064,0.057474568,2.132306454,7.793551354,5.609517788,1.59204552,2.477153859,0,0.22989827,0.787401575,0,3.977240071,0.770159205,0,1.212713374,0,0,0,1
152,3.128911139,8.823529412,0,0,0.813516896,0,0,6.695869837,0,3.441802253,2.127659574,0,4.943679599,0.312891114,5.381727159,0,0,4.255319149,0,2.127659574,2.941176471,7.88485607,0,2.941176471,0,0,0,1
153,0.223022817,1.955738549,0,0,11.8545205,0,0,2.418939784,4.47761194,14.11905987,0.806313261,0,8.02882141,0.806313261,0.223022817,0,1.149425287,2.298850575,0,0.686224052,3.208097444,1.04649168,0,8.629267456,0,0,0,1
154,2.712458746,0,0,0.15470297,2.650577558,0,0,5.41460396,0,5.734323432,0,1.041666667,4.744224422,2.238036304,0.732260726,1.98019802,1.093234323,0.15470297,3.96039604,0.103135314,1.722359736,2.021452145,0,6.714108911,0,0,0,1
155,0.845410628,0,0,0,2.777777778,0,0,0.603864734,0,2.173913043,0,2.173913043,11.5942029,2.173913043,7.971014493,0,0.603864734,4.347826087,0,0,1.811594203,2.777777778,0,5.072463768,0,0,0,1
156,1.809954751,0.037707391,0,0,8.031674208,0,0,7.654600302,0,3.733031674,0,0,9.539969834,0,6.033182504,0,3.921568627,2.036199095,1.923076923,1.923076923,1.847662142,1.73453997,0,10.10558069,0,0,0,1
157,3.833333333,0,0,0,0.333333333,0,0,2,10,9.333333333,0,0.083333333,0.416666667,4,1.666666667,0,0,4.166666667,0,2,0.083333333,1.666666667,0,10.75,0,0,0,1
